location,price,type_of_flat
"ул.Эйнштейна,стр.3,Новоивановское",3800000,"Студия, 22.3 м², 10/25 эт."
"ул.Эйнштейна,стр.1,Новоивановское",3200000,"Студия, 20 м², 13/22 эт."
"ул.Эйнштейна,стр.2,Новоивановское",3850000,"Студия, 24.1 м², 13/22 эт."
"ул.Эйнштейна,стр.2,Новоивановское",4350000,"Студия, 27.2 м², 13/14 эт."
"ул.Эйнштейна,стр.2,Новоивановское",4700000,"1-к квартира, 38 м², 14/24 эт."
"ул.Эйнштейна,стр.1,Новоивановское",4600000,"1-к квартира, 31.8 м², 16/22 эт."
"ул.Эйнштейна,стр.1,Новоивановское",6399000,"2-к квартира, 54 м², 3/22 эт."
"ул.Эйнштейна,стр.1,Новоивановское",3200000,"Студия, 19.2 м², 14/24 эт."
"ул.Эйнштейна,стр.1,Новоивановское",2500000,"Студия, 30 м², 3/3 эт."
"ул.Эйнштейна,стр.1,Новоивановское",4600000,"1-к квартира, 32 м², 12/22 эт."
"ул.Эйнштейна,стр.1,Новоивановское",4800000,"1-к квартира, 34.2 м², 22/22 эт."
"ул.Эйнштейна,стр.1,Новоивановское",6900000,"2-к квартира, 57.1 м², 12/15 эт."
овациярабочийпос.Новоивановское,4100000,"Студия, 23 м², 16/25 эт."
"ул.Эйнштейна,стр.2,Москва",5300000,"1-к квартира, 40 м², 6/22 эт."
"ул.Эйнштейна,стр.2,Москва",3800000,"Студия, 25 м², 15/24 эт."
"ул.Эйнштейна,стр.3,Москва",3750000,"Студия, 23 м², 15/16 эт."
"ул.Эйнштейна,стр.3,Москва",4100000,"Студия, 22.3 м², 9/24 эт."
"ул.Эйнштейна,стр.2,Новоивановское",3950000,"Студия, 22 м², 15/22 эт."
"ул.Эйнштейна,стр.1,Новоивановское",3700000,"Студия, 19.5 м², 5/14 эт."
"ул.Эйнштейна,стр.3,Москва",4250000,"Студия, 24 м², 3/25 эт."
"ул.Эйнштейна,стр.1,Новоивановское",3680000,"Студия, 22.8 м², 7/24 эт."
"ул.Эйнштейна,стр.2,Москва",4080000,"Студия, 25.5 м², 2/14 эт."
"ул.Эйнштейна,стр.2,Москва",4000000,"Студия, 23.1 м², 7/22 эт."
"ул.Эйнштейна,стр.1,Новоивановское",4850000,"1-к квартира, 35 м², 3/22 эт."
"ул.Эйнштейна,стр.3,Москва",4820000,"1-к квартира, 31.5 м², 3/25 эт."
"ул.Эйнштейна,стр.1,Новоивановское",4850000,"1-к квартира, 34.6 м², 11/15 эт."
"ул.Эйнштейна,стр.2,Новоивановское",6000000,"1-к квартира, 42 м², 14/22 эт."
"ул.Эйнштейна,стр.1,Новоивановское",6700000,"2-к квартира, 57 м², 11/15 эт."
"ул.Эйнштейна,стр.2,Москва",7350000,"2-к квартира, 55 м², 8/15 эт."
"ул.Эйнштейна,стр.1,Новоивановское",7350000,"2-к квартира, 54.7 м², 21/22 эт."
"ул.Эйнштейна,стр.2,Москва",3750000,"Студия, 24.1 м², 6/22 эт."
"я»п.Сосенское,пос.Коммунарка,стр.4.2,Москва",7400000,"2-к квартира, 54.1 м², 4/8 эт."
"ул.Эйнштейна,стр.3,Москва",7270000,"2-к квартира, 53.1 м², 15/15 эт."
"ул.Эйнштейна,стр.1,Новоивановское",5400000,"1-к квартира, 40.4 м², 13/24 эт."
